n_trial,elapsed_time,loss,planner,avg_runs,t_avg_run_time,t_avg_plan_time,t_avg_dist,t_avg_path_length,t_avg_success,params
1,9.422385931,2.0895700455,BKPIECEkConfigDefault,1,2.6071660519,2.0895700455,1.7034104392,8.3055649471,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8442657485810175, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 12.724050907883472, 'failed_expansion_score_factor': 0.6235636967859725, 'min_valid_path_fraction': 0.38438170729269994, 'type': 'geometric::BKPIECE'}"
2,13.1789119244,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.27265629458011326, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 12.201314058754852, 'failed_expansion_score_factor': 0.47997717237505744, 'min_valid_path_fraction': 0.39278479610082984, 'type': 'geometric::BKPIECE'}"
3,17.0860109329,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6481718720511973, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.361611868400395, 'failed_expansion_score_factor': 0.14035078041264518, 'min_valid_path_fraction': 0.8700872583584366, 'type': 'geometric::BKPIECE'}"
4,29.2657058239,1.5422170162,BKPIECEkConfigDefault,1,3.1116628647,1.5422170162,1.7032640925,6.9187758399,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5204774795512049, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 10.837426555416162, 'failed_expansion_score_factor': 0.5820197920751072, 'min_valid_path_fraction': 0.5373732294490108, 'type': 'geometric::BKPIECE'}"
5,32.8181619644,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.47360041934665753, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.080080839221477, 'failed_expansion_score_factor': 0.21655035442437193, 'min_valid_path_fraction': 0.13521817340545209, 'type': 'geometric::BKPIECE'}"
6,43.2397608757,0.9502961636,BKPIECEkConfigDefault,1,3.8683199883,0.9502961636,1.7029383982,7.8666024962,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.2223213882515877, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 13.548717285388133, 'failed_expansion_score_factor': 0.4499499899112277, 'min_valid_path_fraction': 0.6130634578841325, 'type': 'geometric::BKPIECE'}"
7,47.2850389481,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.969809067746749, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 2.6465528185270735, 'failed_expansion_score_factor': 0.35815216696952507, 'min_valid_path_fraction': 0.7506861412184564, 'type': 'geometric::BKPIECE'}"
8,54.3634238243,1.3158128262,BKPIECEkConfigDefault,1,2.2716839314,1.3158128262,1.702895623,8.9282130912,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.03842542647273473, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.388344102505357, 'failed_expansion_score_factor': 0.652790317005491, 'min_valid_path_fraction': 0.635058873603564, 'type': 'geometric::BKPIECE'}"
9,57.8794138432,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4143685882263689, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 9.390300506864838, 'failed_expansion_score_factor': 0.3380076148388918, 'min_valid_path_fraction': 0.6747523222590208, 'type': 'geometric::BKPIECE'}"
10,68.3641068935,1.1195719242,BKPIECEkConfigDefault,1,2.1464970112,1.1195719242,1.7031194587,7.2313784449,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9495710534507423, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.3022173706204366, 'failed_expansion_score_factor': 0.6228460955466696, 'min_valid_path_fraction': 0.6736596308357895, 'type': 'geometric::BKPIECE'}"
11,80.3324239254,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5852010767550851, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.5854989343822923, 'failed_expansion_score_factor': 0.8201142864522285, 'min_valid_path_fraction': 0.931626026572471, 'type': 'geometric::BKPIECE'}"
12,88.3064918518,0.4754309654,BKPIECEkConfigDefault,1,2.3575201035,0.4754309654,1.7031263435,6.8204091018,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6245203097692135, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.141336310436985, 'failed_expansion_score_factor': 0.508744272562008, 'min_valid_path_fraction': 0.6360623877251443, 'type': 'geometric::BKPIECE'}"
13,93.413738966,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.0, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 15.0, 'failed_expansion_score_factor': 0.5194765724484802, 'min_valid_path_fraction': 0.7138724643958435, 'type': 'geometric::BKPIECE'}"
14,103.8310358524,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9929007336174485, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 5.031328198042786, 'failed_expansion_score_factor': 0.5446740735934636, 'min_valid_path_fraction': 0.6228663674667866, 'type': 'geometric::BKPIECE'}"
15,110.0436739922,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.16872577573498185, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.540418526174905, 'failed_expansion_score_factor': 0.3933911932690821, 'min_valid_path_fraction': 0.5601189536629645, 'type': 'geometric::BKPIECE'}"
16,120.6631188393,2.3000531197,BKPIECEkConfigDefault,1,3.1400420666,2.3000531197,1.7029291169,7.3974655802,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.3299108348906632, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 12.544082388715461, 'failed_expansion_score_factor': 0.6916971960946026, 'min_valid_path_fraction': 0.6263236164353186, 'type': 'geometric::BKPIECE'}"
17,128.5915498734,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9292321464459445, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.593974384807632, 'failed_expansion_score_factor': 0.7171497374508947, 'min_valid_path_fraction': 0.5877561411342862, 'type': 'geometric::BKPIECE'}"
18,135.9887578487,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.0012907502116233929, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.153668526559029, 'failed_expansion_score_factor': 0.9306456369094823, 'min_valid_path_fraction': 0.6488508483534282, 'type': 'geometric::BKPIECE'}"
19,143.2243978977,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.63782969155354, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.5120083565848677, 'failed_expansion_score_factor': 6.223620758283312e-05, 'min_valid_path_fraction': 0.8904769469519673, 'type': 'geometric::BKPIECE'}"
20,152.1670019627,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.20782969294933934, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 13.374886526489087, 'failed_expansion_score_factor': 0.043020605356538406, 'min_valid_path_fraction': 0.646353388132924, 'type': 'geometric::BKPIECE'}"
21,168.3287768364,0.5349099636,BKPIECEkConfigDefault,1,2.3030209541,0.5349099636,1.7029657621,8.8731441084,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.0201054249561371, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.252565909581802, 'failed_expansion_score_factor': 0.9999539596673245, 'min_valid_path_fraction': 0.39657307760847915, 'type': 'geometric::BKPIECE'}"
22,181.6496288776,2.348031044,BKPIECEkConfigDefault,1,2.5927820206,2.348031044,1.7029321862,6.9279196584,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.666534070188767, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.985636010453932, 'failed_expansion_score_factor': 0.9999845501074214, 'min_valid_path_fraction': 0.075626346636833, 'type': 'geometric::BKPIECE'}"
23,194.8402059078,2.4055020809,BKPIECEkConfigDefault,1,2.8626759052,2.4055020809,1.7030122422,8.7647398853,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.562781772013538, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 13.808278097186058, 'failed_expansion_score_factor': 0.9999709267284773, 'min_valid_path_fraction': 0.6971378770137923, 'type': 'geometric::BKPIECE'}"
24,202.062363863,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.413453806196013, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 3.5527616617310143, 'failed_expansion_score_factor': 0.6100733506794119, 'min_valid_path_fraction': 0.6283955750634934, 'type': 'geometric::BKPIECE'}"
25,214.0596609116,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.3602594385946201, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.774302981237636, 'failed_expansion_score_factor': 0.511107205619168, 'min_valid_path_fraction': 0.631576737975218, 'type': 'geometric::BKPIECE'}"
26,227.9628219605,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6295113305435118, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 6.815680521529551, 'failed_expansion_score_factor': 0.5144601922591838, 'min_valid_path_fraction': 0.05881186437320342, 'type': 'geometric::BKPIECE'}"
27,236.8539378643,2.3458170891,BKPIECEkConfigDefault,1,2.794699192,2.3458170891,1.7028965753,7.7207228626,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.3344183037258414, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.317574368549735, 'failed_expansion_score_factor': 0.4894050367897351, 'min_valid_path_fraction': 0.6395006204142407, 'type': 'geometric::BKPIECE'}"
28,245.8862109184,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6651309852727153, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.002164657470313, 'failed_expansion_score_factor': 0.522446427717255, 'min_valid_path_fraction': 0.6492845557054704, 'type': 'geometric::BKPIECE'}"
29,254.9264359474,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6198287766737023, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 14.605716019586913, 'failed_expansion_score_factor': 0.5136393564624304, 'min_valid_path_fraction': 0.6197478806132055, 'type': 'geometric::BKPIECE'}"
30,263.4295098782,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.18355733444673253, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 13.627940720070953, 'failed_expansion_score_factor': 0.46061662720782703, 'min_valid_path_fraction': 0.6197431459001234, 'type': 'geometric::BKPIECE'}"
31,278.2049260139,1.8822128773,BKPIECEkConfigDefault,1,2.8160181046,1.8822128773,1.7028773575,7.77328833,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.3128294756022458, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.516621325669142, 'failed_expansion_score_factor': 0.9795086083544239, 'min_valid_path_fraction': 0.40233040886805693, 'type': 'geometric::BKPIECE'}"
32,293.2735028267,0.7366800308,BKPIECEkConfigDefault,1,2.7691240311,0.7366800308,1.7031148083,6.9867805373,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6842621414882736, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.536006756221095, 'failed_expansion_score_factor': 0.9909612743718412, 'min_valid_path_fraction': 0.3969145146774392, 'type': 'geometric::BKPIECE'}"
33,308.1516559124,1.9172070026,BKPIECEkConfigDefault,1,3.1638541222,1.9172070026,1.7027605019,7.6468562668,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.34369102001202256, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.336558648758198, 'failed_expansion_score_factor': 1.0, 'min_valid_path_fraction': 0.393351334297009, 'type': 'geometric::BKPIECE'}"
34,316.94272995,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5130234109448883, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.33531869557254, 'failed_expansion_score_factor': 0.9594144231532752, 'min_valid_path_fraction': 0.40271336197698987, 'type': 'geometric::BKPIECE'}"
35,324.4948179722,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.09868063142678903, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.35836217768828, 'failed_expansion_score_factor': 0.9950462814678358, 'min_valid_path_fraction': 0.40169002106068585, 'type': 'geometric::BKPIECE'}"
36,341.6169610024,2.6684119701,BKPIECEkConfigDefault,1,3.3502631187,2.6684119701,1.7029897393,7.3983882252,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.9910688467366794, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 7.7801567435960575, 'failed_expansion_score_factor': 0.5220327340917756, 'min_valid_path_fraction': 0.6254822396600572, 'type': 'geometric::BKPIECE'}"
37,358.533411026,2.7890481949,BKPIECEkConfigDefault,1,2.9990859032,2.7890481949,1.7028892622,7.7566121987,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.13682628860625948, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.079525659111425, 'failed_expansion_score_factor': 0.9817710050809585, 'min_valid_path_fraction': 0.3821118524254684, 'type': 'geometric::BKPIECE'}"
38,366.4937758446,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.6588466436724535, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.24013207963508854, 'failed_expansion_score_factor': 0.6360646108861685, 'min_valid_path_fraction': 0.6831607246578217, 'type': 'geometric::BKPIECE'}"
39,380.5761599541,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4899127629907455, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 0.824775959732223, 'failed_expansion_score_factor': 0.607531418596099, 'min_valid_path_fraction': 0.676307045383654, 'type': 'geometric::BKPIECE'}"
40,392.9791610241,0.7955679893,BKPIECEkConfigDefault,1,3.6999411583,0.7955679893,1.7031119445,7.2120854279,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4108995225377993, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.12274540206535, 'failed_expansion_score_factor': 0.5077044518423349, 'min_valid_path_fraction': 0.6359342474468501, 'type': 'geometric::BKPIECE'}"
41,405.9243798256,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.7828722254511944, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 13.506784494920996, 'failed_expansion_score_factor': 0.4443045001834675, 'min_valid_path_fraction': 0.6095280729857353, 'type': 'geometric::BKPIECE'}"
42,429.7753448486,3.3216769695,BKPIECEkConfigDefault,1,5.1685781479,3.3216769695,1.7027649208,9.2187251932,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.620061150691589, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.159172957716171, 'failed_expansion_score_factor': 0.5070631278748656, 'min_valid_path_fraction': 0.6340390582574978, 'type': 'geometric::BKPIECE'}"
43,441.4960768223,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8366670665739508, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 8.095102579855103, 'failed_expansion_score_factor': 0.49669344314554, 'min_valid_path_fraction': 0.6231006200729947, 'type': 'geometric::BKPIECE'}"
44,455.854118824,0.470927,BKPIECEkConfigDefault,1,1.9565880299,0.470927,1.7028356791,6.6160811948,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.21787116005191345, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.380417151910155, 'failed_expansion_score_factor': 0.9964748903272476, 'min_valid_path_fraction': 0.3956941653401119, 'type': 'geometric::BKPIECE'}"
45,463.6001448631,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.4702579726597198, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 9.39834296990214, 'failed_expansion_score_factor': 0.9967608314675864, 'min_valid_path_fraction': 0.3953462770765103, 'type': 'geometric::BKPIECE'}"
46,477.4199678898,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.3908932131419671, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.529711567583046, 'failed_expansion_score_factor': 0.9904575594214642, 'min_valid_path_fraction': 0.3870669685581859, 'type': 'geometric::BKPIECE'}"
47,492.4354119301,2.3138070107,BKPIECEkConfigDefault,1,4.1888780594,2.3138070107,1.7030137571,8.4496181299,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.06635569607314286, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.222965181887306, 'failed_expansion_score_factor': 0.7340610626516203, 'min_valid_path_fraction': 0.39909357125399825, 'type': 'geometric::BKPIECE'}"
48,512.8266839981,2.9708690643,BKPIECEkConfigDefault,1,2.4307279587,2.9708690643,1.7029176675,6.7656192144,1,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.04859837234457036, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 11.367853806387883, 'failed_expansion_score_factor': 0.9973684762622894, 'min_valid_path_fraction': 0.3961079630005045, 'type': 'geometric::BKPIECE'}"
49,523.3917629719,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.5290988005513481, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 7.346015542357488, 'failed_expansion_score_factor': 0.7731518539462792, 'min_valid_path_fraction': 0.5302821338045236, 'type': 'geometric::BKPIECE'}"
50,538.6986598969,3,BKPIECEkConfigDefault,1,0,0,0,0,0,"{'longest_valid_segment_fraction': 0.005, 'border_fraction': 0.8548763694521809, 'projection_evaluator': 'joints(crane_plus_shoulder_revolute_joint, crane_plus_wrist_joint)', 'range': 12.472849366499489, 'failed_expansion_score_factor': 0.9790487518599378, 'min_valid_path_fraction': 0.39173136923654894, 'type': 'geometric::BKPIECE'}"
